channel,mean_slope,t_stat,p_value,pct_positive,n_subjects,p_value_fdr
Af3,-0.29457711444281726,-1.4945366581669661,0.13831527624623377,49.48453608247423,97,0.6697248596299213
Af4,0.03397835909958967,0.18389770106020287,0.8544815897950773,51.546391752577314,97,0.9987941939494506
Af7,-0.1704825399613997,-0.7281373854123884,0.4683018390664767,49.48453608247423,97,0.8131731292969301
Af8,0.301356789569947,1.4185406390771302,0.1592712970798471,56.70103092783505,97,0.6697248596299213
Afz,-0.1331289456835281,-0.8551016793397511,0.39462391470709474,47.42268041237113,97,0.798490094792681
C1,-0.03709308625078091,-0.24973259386964652,0.8033277505835998,45.36082474226804,97,0.9987941939494506
C2,-0.014229030752112837,-0.09531643320400739,0.9242621706485046,53.608247422680414,97,0.9987941939494506
C3,-0.039167472755982896,-0.22853514618551482,0.8197163474044267,52.57731958762887,97,0.9987941939494506
C4,-0.10993155503688656,-0.6361740353776156,0.5261768463586071,48.45360824742268,97,0.8418829541737713
C5,-0.3313167545658142,-1.746888507701541,0.08385487651648062,38.144329896907216,97,0.6591041487037006
C6,-0.1631714107552824,-0.8671843484296399,0.38800342858921655,49.48453608247423,97,0.798490094792681
Cp1,-0.17501012429671228,-1.1483243684569766,0.25368802836217336,42.2680412371134,97,0.6697248596299213
Cp2,-0.0535485877551589,-0.35831332464096494,0.7208955628152356,43.29896907216495,97,0.9443489810036606
Cp3,-0.18490064123763728,-1.1299894730488482,0.26129609130693326,42.2680412371134,97,0.6697248596299213
Cp4,-0.18799578827988578,-1.154531378771291,0.2511482695355524,51.546391752577314,97,0.6697248596299213
Cp5,-0.2633182419639136,-1.5012579941309625,0.13657088919163957,37.11340206185567,97,0.6697248596299213
Cp6,-0.16573329330367825,-1.0627660903851517,0.29055416485932767,40.20618556701031,97,0.6867327934466072
Cpz,-0.12492198749320468,-0.8244610117325378,0.4117214551274761,42.2680412371134,97,0.798490094792681
Cz,0.0165662096811613,0.11083926528581235,0.9119752060713815,49.48453608247423,97,0.9987941939494506
F1,-0.273160982739413,-1.7570951363969924,0.08208978721340214,41.23711340206185,97,0.6591041487037006
F2,-0.11474537358586535,-0.7596082261386302,0.4493501089308248,46.391752577319586,97,0.8131731292969301
F3,-0.23782784325793202,-1.378513066255411,0.17124895792062703,43.29896907216495,97,0.6697248596299213
F4,-0.03656945267830359,-0.21287093205008134,0.8318790135241548,45.36082474226804,97,0.9987941939494506
F5,-0.2992240714682822,-1.7204131929083775,0.08857923932713926,40.20618556701031,97,0.6591041487037006
F6,0.01457060205951378,0.08324066396822008,0.9338335053739729,47.42268041237113,97,0.9987941939494506
F7,0.0055684519816143335,0.031749317490755644,0.9747378806364357,48.45360824742268,97,0.9987941939494506
F8,0.22756582957668936,1.2101861983393472,0.22917881497031317,52.57731958762887,97,0.6697248596299213
Fc1,0.0030689121395671287,0.021609198263803635,0.9828045474364326,48.45360824742268,97,0.9987941939494506
Fc2,-0.0017006809167567846,-0.011471920462580882,0.9908707393047689,49.48453608247423,97,0.9987941939494506
Fc3,-0.0898801536865345,-0.5660764629428027,0.5726626985158898,45.36082474226804,97,0.8726288739289749
Fc4,-0.018463821424070243,-0.11656468894178847,0.9074485262029084,49.48453608247423,97,0.9987941939494506
Fc5,-0.3132570213632393,-2.0364338291563993,0.04446089480594066,41.23711340206185,97,0.6591041487037006
Fc6,0.01119331066630751,0.05726071263482087,0.9544565305071651,45.36082474226804,97,0.9987941939494506
Fcz,-0.05842975625422728,-0.4107932461893874,0.6821396360916112,46.391752577319586,97,0.9443489810036606
Fp1,-0.13146343702923818,-0.6405083770811659,0.5233680741769359,42.2680412371134,97,0.8418829541737713
Fp2,-0.08350732192742732,-0.46627186626141154,0.6420772178916629,41.23711340206185,97,0.9307967663555795
Fpz,-0.18462313646775227,-1.1046419660183344,0.27207572422465554,43.29896907216495,97,0.6697248596299213
Ft7,-0.028453407186853862,-0.1490663920156142,0.8818139436167705,50.51546391752577,97,0.9987941939494506
Ft8,0.0003256936056417593,0.0015151949700392396,0.9987941939494506,43.29896907216495,97,0.9987941939494506
Fz,-0.1061511979168775,-0.7251634343870698,0.4701157153747877,48.45360824742268,97,0.8131731292969301
Iz,-0.06767854672565449,-0.37604788887011553,0.707711042385206,50.51546391752577,97,0.9443489810036606
O1,-0.22939257933729326,-1.39392755171003,0.16655771194867228,39.175257731958766,97,0.6697248596299213
O2,-0.12540751979115192,-0.8306089991853384,0.40825551759230577,44.329896907216494,97,0.798490094792681
Oz,-0.15539264263273214,-1.0085446234925268,0.31572838087359634,46.391752577319586,97,0.696779875031385
P1,-0.11980955902098005,-0.7407752251219906,0.4606378143851498,49.48453608247423,97,0.8131731292969301
P2,-0.05319904085461167,-0.32991729687535626,0.7421812838088658,52.57731958762887,97,0.9499920432753483
P3,-0.1881508996165263,-1.1570602597942659,0.2501186962304465,43.29896907216495,97,0.6697248596299213
P4,-0.06058767914234867,-0.355470252945369,0.7230171885809277,49.48453608247423,97,0.9443489810036606
P5,-0.11299989600821805,-0.6694068706135184,0.5048427586028971,49.48453608247423,97,0.8418829541737713
P6,-0.21645945177032808,-1.3514932121719918,0.1797136226686884,43.29896907216495,97,0.6697248596299213
P7,-0.23371576380771897,-1.3724602526445617,0.17311830687052362,46.391752577319586,97,0.6697248596299213
P8,-0.19635646406375531,-1.1196441923382237,0.26565889797724956,45.36082474226804,97,0.6697248596299213
Po3,-0.15174859825105946,-1.0410965500696514,0.30044559713289065,45.36082474226804,97,0.6867327934466072
Po4,-0.06581907015223591,-0.4611436326764767,0.6457386488951998,45.36082474226804,97,0.9307967663555795
Po7,-0.2391761009830386,-1.716474492123806,0.08930035034602701,42.2680412371134,97,0.6591041487037006
Po8,-0.06932250466585929,-0.44896819466269416,0.6544664763437669,45.36082474226804,97,0.9307967663555795
Poz,-0.20187778180990476,-1.3953262601596466,0.1661369326018885,43.29896907216495,97,0.6697248596299213
Pz,-0.08935258325054338,-0.5869464384647648,0.5586175048583557,48.45360824742268,97,0.8719883002667016
T10,-0.38045707845430093,-1.7210715702952657,0.08845916756029748,42.2680412371134,97,0.6591041487037006
