subject,expected_runs,n_runs_loaded,n_runs_missing,duration_sec,n_channels,n_flat_channels,n_ica_components,n_components_excluded,pct_components_excluded,excluded_component_idx,residual_60hz_power
090,14,,,1597.99375,64,0,64,12,18.75,"[0, 1, 9, 13, 18, 19, 25, 26, 28, 33, 36, 60]",2.0319391966326524e-15
091,14,,,1597.99375,64,0,63,14,22.22222222222222,"[1, 3, 7, 8, 14, 15, 20, 29, 32, 33, 40, 43, 50, 51]",2.599429047103912e-15
094,14,,,1597.99375,64,0,64,4,6.25,"[0, 3, 4, 27]",1.6998063248331916e-14
095,14,,,1621.99375,64,0,64,9,14.0625,"[1, 6, 11, 14, 19, 20, 27, 30, 50]",3.3514438026825207e-15
096,14,,,1621.99375,64,0,64,5,7.8125,"[0, 1, 3, 8, 28]",5.685974656668535e-16
097,14,,,1596.99375,64,0,64,7,10.9375,"[0, 1, 6, 7, 14, 28, 63]",1.2083825832032883e-14
098,14,,,1597.99375,64,0,64,11,17.1875,"[1, 12, 15, 19, 22, 31, 33, 38, 40, 42, 53]",2.666594907413568e-16
099,14,,,1597.99375,64,0,64,19,29.6875,"[0, 3, 7, 10, 12, 13, 14, 17, 18, 19, 20, 22, 23, 24, 31, 35, 42, 48, 58]",1.38635619326675e-15
101,14,,,1621.99375,64,0,64,5,7.8125,"[0, 4, 13, 17, 44]",4.831506951297979e-16
102,14,,,1598.99375,64,0,64,6,9.375,"[0, 19, 31, 38, 39, 62]",4.8069830025391045e-17
103,14,,,1621.99375,64,0,64,4,6.25,"[1, 19, 26, 49]",1.1157398294599242e-15
104,14,,,1580.99375,64,0,64,4,6.25,"[1, 2, 4, 37]",5.6830173032495905e-15
105,14,,,1597.99375,64,0,64,5,7.8125,"[1, 8, 37, 41, 58]",1.2269030581897823e-15
106,14,,,1533.99375,64,0,64,2,3.125,"[0, 5]",1.1617664951773416e-15
107,14,,,1621.99375,64,0,64,10,15.625,"[2, 6, 7, 9, 10, 11, 12, 25, 32, 49]",1.120225167928907e-15
108,14,,,1597.99375,64,0,64,17,26.5625,"[1, 3, 6, 12, 13, 19, 20, 21, 23, 24, 25, 26, 27, 29, 31, 34, 44]",2.449772741351754e-15
109,14,,,1596.99375,64,0,64,1,1.5625,[0],4.719962808480696e-16
